what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xtext.common.types.ui,2.3.0.vSigasi-201202131817,"org.eclipse.xtext.common.types.ui",1349854882076
started,bundle,org.eclipse.xtext.ui,2.3.0.vSigasi-201202131817,"org.eclipse.xtext.ui",1349854882076
started,bundle,org.eclipse.xtext.ui.codetemplates,2.3.0.vSigasi-201202131817,"org.eclipse.xtext.ui.codetemplates",1349854882085
started,bundle,org.eclipse.xtext.ui.codetemplates.ui,2.3.0.vSigasi-201202131817,"org.eclipse.xtext.ui.codetemplates.ui",1349854882093
started,bundle,org.eclipse.xtext.ui.shared,2.3.0.vSigasi-201202131817,"org.eclipse.xtext.ui.shared",1349854882106
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1349854882106
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1349854882106
started,bundle,com.collabnet.subversion.merge,3.0.10,"com.collabnet.subversion.merge",1349854882106
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1349854882106
started,bundle,org.tigris.subversion.subclipse.ui,1.8.15,"org.tigris.subversion.subclipse.ui",1349854882160
os,sysinfo,,,"macosx",1349854882164
arch,sysinfo,,,"x86_64",1349854882164
ws,sysinfo,,,"cocoa",1349854882164
locale,sysinfo,,,"en_US",1349854882164
processors,sysinfo,,,"4",1349854882164
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349854882164
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1349854882164
java.specification.name,sysinfo,,,"Java Platform API Specification",1349854882164
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349854882164
java.specification.version,sysinfo,,,"1.6",1349854882164
java.vendor,sysinfo,,,"Apple Inc.",1349854882164
java.version,sysinfo,,,"1.6.0_33",1349854882164
java.vm.info,sysinfo,,,"mixed mode",1349854882164
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1349854882164
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349854882164
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349854882164
java.vm.specification.version,sysinfo,,,"1.0",1349854882164
java.vm.vendor,sysinfo,,,"Apple Inc.",1349854882164
java.vm.version,sysinfo,,,"20.8-b03-424",1349854882164
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1349854882239
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1349854882272
started,bundle,com.mousefeed,1.0.1.201103081613,"com.mousefeed",1349854882583
started,bundle,com.sigasi.bugreporting,2.5.1.201207241103,"com.sigasi.bugreporting",1349854882721
started,bundle,com.sigasi.runner.listener,2.5.1.201207241103,"com.sigasi.runner.listener",1349854882890
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1349854882910
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349854883246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349854883798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349854886851
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1349854889295
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1349854889681
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1349854889735
started,bundle,org.python.pydev.core,2.6.0.2012062818,"org.python.pydev.core",1349854889872
started,bundle,com.python.pydev.analysis,2.6.0.2012062818,"com.python.pydev.analysis",1349854889949
started,bundle,org.python.pydev,2.6.0.2012062818,"org.python.pydev",1349854890026
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1349854891116
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1349854891309
opened,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1349854892128
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1349854892180
activated,perspective,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.CPerspective",1349854892195
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1349854892258
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1349854892373
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1349854895621
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349854903390
opened,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1349854903651
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1349854903739
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349854903740
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1349854903821
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1349854906051
closed,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1349854906051
started,bundle,org.gna.eclox.core,0.8.0,"org.gna.eclox.core",1349854912271
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349854939380
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349854939419
started,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1349854939975
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1349854949261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349854958475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349854963060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349854981890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349854983938
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349854988106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349854992273
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1349854993986
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1349854996924
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1349854996962
opened,editor,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare.CompareEditor",1349855001734
activated,editor,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare.CompareEditor",1349855001764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349855002135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349855002763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1349855006021
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349855028945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1349855033671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1349855034265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349855035828
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1349855077605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1349855077648
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1349855080848
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349855081103
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349855081161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1349855083122
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1349855188871
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1349855188921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857050834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857206847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857212505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857212898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857215079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857216724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857237049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857238782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349857251599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860940576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860941244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349932541557
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349932547726
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1349932548854
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1349932548936
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1349932548936
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1349932548936
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1349932548936
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201109151620,"org.eclipse.cdt.launch.remote",1349932548936
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201109151620,"org.eclipse.cdt.debug.mi.ui",1349932548970
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.ui,7.0.0.201106081058,"org.eclipse.cdt.debug.gdbjtag.ui",1349932549057
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.core,8.0.0.201106081058,"org.eclipse.cdt.debug.gdbjtag.core",1349932549062
stopped,bundle,org.eclipse.cdt.embsysregview,0.1.9.90,"org.eclipse.cdt.embsysregview",1349932549111
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201109151620,"org.eclipse.cdt.debug.mi.core",1349932549189
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201109151620,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1349932549221
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.search",1349932549233
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201109151620,"org.eclipse.cdt.dsf.gdb.ui",1349932549343
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201109151620,"org.eclipse.cdt.dsf.ui",1349932549343
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201109151620,"org.eclipse.cdt.gdb.ui",1349932549421
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.1.201109151620,"org.eclipse.cdt.dsf.gdb",1349932549487
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201109151620,"org.eclipse.cdt.launch",1349932549488
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1349932549488
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.traditional",1349932549490
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201109151620,"org.eclipse.cdt.dsf",1349932549490
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1349932549491
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201108301805,"org.eclipse.linuxtools.cdt.autotools.ui",1349932549634
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1349932549634
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1349932549635
stopped,bundle,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui",1349932549635
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1349932549681
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201109151620,"org.eclipse.cdt.msw.build",1349932549681
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.core",1349932549682
stopped,bundle,org.eclipse.cdt.make.core,7.1.1.201109151620,"org.eclipse.cdt.make.core",1349932549682
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1349932549682
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1349932549682
stopped,bundle,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui",1349932549682
stopped,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1349932549682
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1349932549682
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1349932549740
stopped,bundle,org.eclipse.rse.processes.ui,3.0.300.v201101042155,"org.eclipse.rse.processes.ui",1349932549789
stopped,bundle,org.eclipse.rse.importexport,1.2.200.v201105021534,"org.eclipse.rse.importexport",1349932549805
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.200.v201101042155,"org.eclipse.rse.subsystems.shells.telnet",1349932549820
stopped,bundle,org.eclipse.rse.shells.ui,3.0.300.v201103141607,"org.eclipse.rse.shells.ui",1349932549897
